

<<START>>,<<FMS_BUY_DAILY_ALLOCATION>>,,,,,, 	(11-APR-2025 16:15:08)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825006, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825007, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825003, 4,D, 	(11-APR-2025 16:15:09)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,, , ,, ,, 	(11-APR-2025 16:15:09)	 (Not Inserted)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825004, 4,D, 	(11-APR-2025 16:15:09)
2,1, 0, 0,825005, 4,D, 	(11-APR-2025 16:15:09)
